Date,Open,High,Low,Close,Adj Close,Volume
2018/1/2,154.759995,156.350006,153.309998,156.190002,150.093735,1067600
2018/1/3,156.029999,157.690002,155.679993,157.5,151.352615,1427900
2018/1/4,159.389999,161.339996,158.869995,159.970001,153.726196,1896800
2018/1/5,161.770004,162.339996,160.559998,161.369995,155.071579,1699500
2018/1/8,161.110001,161.649994,160.460007,161.309998,155.013901,936700
2018/1/9,162.339996,164.490005,161.960007,162.880005,156.522629,3366400
2018/1/10,162.699997,163.169998,161.5,162.619995,156.272766,2416800
2018/1/11,164.110001,166.080002,163.309998,163.809998,157.416321,2007100
2018/1/12,164.059998,165.119995,163.25,164.149994,157.743057,2644400
2018/1/16,164.5,165.229996,160.220001,162.100006,155.773071,2754100
2018/1/17,163.550003,164.229996,161.460007,163.460007,157.080002,1751900
2018/1/18,162.979996,164.509995,161.399994,161.5,155.196487,1746700
2018/1/19,162.199997,162.350006,161.289993,161.880005,155.561691,1678800
2018/1/22,161.570007,161.699997,159.610001,160.619995,154.350845,1523400
2018/1/23,159.660004,160.809998,158.509995,159.229996,153.015076,1775300
2018/1/24,159.100006,162.039993,158.979996,160.869995,154.59108,3701100
2018/1/25,166.259995,166.949997,161.800003,163.350006,156.974274,3391800
2018/1/26,163.690002,166.240005,162.179993,165.690002,159.222946,1870000
2018/1/29,165.199997,166.130005,160.710007,162.830002,156.474564,2982800
2018/1/30,162.699997,162.940002,160.660004,160.720001,154.44693,2007700
2018/1/31,161.429993,162.330002,160.039993,161.490005,155.18689,3570500
2018/2/1,159.839996,160.899994,158.929993,159.830002,153.591644,1520800
2018/2/2,156.720001,157.350006,154.949997,155.050003,148.998245,2086200
2018/2/5,154.020004,156.839996,150.029999,150.320007,144.45285,2593900
2018/2/6,150.149994,156.389999,148.020004,155.309998,149.248108,3718100
2018/2/7,154.559998,154.779999,150,150.009995,144.154953,2248000
2018/2/8,149.880005,150.619995,144.050003,144.070007,138.446808,2054300
2018/2/9,145.289993,150.630005,144.699997,149.479996,143.645645,3116200
2018/2/12,150.869995,154.979996,150.5,153.75,147.748962,3099700
2018/2/13,152.729996,154.449997,152.080002,153.830002,147.825867,1402800
2018/2/14,152.25,156.240005,152,155.070007,149.017487,1622000
2018/2/15,156.270004,156.309998,153.119995,155.800003,149.718964,1634200
2018/2/16,154.550003,155.130005,153.199997,153.610001,147.614456,1589400
2018/2/20,152.25,154.259995,151.639999,153.600006,147.604828,2590500
2018/2/21,153.470001,155.740005,152.740005,152.740005,146.778412,1834100
2018/2/22,153.869995,154.960007,153.139999,153.669998,147.672119,1627100
2018/2/23,154.309998,155.740005,152.550003,155.619995,149.54599,1593400
2018/2/26,155.440002,155.979996,153.660004,155.830002,149.747803,1018600
2018/2/27,154.899994,155.320007,153.550003,154,147.989212,1239400
2018/2/28,154.149994,154.5,149.660004,149.75,143.905106,1541700
2018/3/1,149.210007,150.080002,146.589996,147.919998,142.146515,1918000
2018/3/2,147.240005,149.979996,146.649994,149.429993,143.597595,1420600
2018/3/5,148.809998,153.419998,148.509995,152.740005,146.778412,1852900
2018/3/6,153.059998,154.669998,151.770004,153.649994,148.454742,1470000
2018/3/7,152.550003,155.800003,152.309998,155.100006,149.855728,1821700
2018/3/8,155.740005,158.089996,155.440002,157.880005,152.541702,2190900
2018/3/9,157.949997,160.179993,157.149994,160.089996,154.676956,1340300
2018/3/12,162.649994,163.470001,160.119995,161.110001,155.662506,1787800
2018/3/13,161.880005,161.990005,159.070007,160.369995,154.947479,1678500
2018/3/14,160.940002,161.240005,157.479996,157.539993,152.213196,1611600
2018/3/15,157.589996,158.429993,155.550003,155.669998,150.406448,1491600
2018/3/16,154.649994,155.339996,153.149994,154.320007,149.102081,2276000
2018/3/19,150.259995,152.309998,148.550003,149.580002,144.522369,2058400
2018/3/20,150.580002,151.139999,149.869995,150.220001,145.140701,837700
2018/3/21,150.600006,152.880005,149.990005,151.710007,146.580322,826700
2018/3/22,150.059998,150.669998,145.899994,146.089996,141.150345,1351300
2018/3/23,146.850006,147.550003,142.139999,142.550003,137.730057,1232100
2018/3/26,145,146.460007,143.669998,146.110001,141.169693,1068200
2018/3/27,146.179993,147.149994,143.149994,144.110001,139.237305,856500
2018/3/28,144.449997,144.820007,141.360001,142.160004,137.353271,1236200
2018/3/29,140.660004,145.360001,140.259995,144.300003,139.420868,1461000
2018/4/2,144.020004,144.860001,140.610001,142.100006,137.295273,2028000
2018/4/3,141.970001,144.240005,141.399994,143.639999,138.783188,1079000
2018/4/4,141.119995,145.300003,140,145.020004,140.116501,1132800
2018/4/5,146,147.830002,145.330002,146.710007,141.74939,988100
2018/4/6,145.389999,146.520004,142.339996,143.179993,138.338745,1188600
2018/4/9,144.050003,145.940002,142.809998,143.949997,139.082718,1231700
2018/4/10,146.149994,148.190002,145.089996,146.690002,141.730057,1089400
2018/4/11,145.240005,145.669998,144.100006,144.600006,139.710754,890700
2018/4/12,145.410004,147.669998,144.789993,146.919998,141.952286,1001200
2018/4/13,147.350006,147.759995,145.809998,146.529999,141.575485,716500
2018/4/16,148,151.199997,147.009995,151.199997,146.08757,2211500
2018/4/17,151.949997,155.160004,150.710007,154.919998,149.681778,2268500
2018/4/18,154.809998,154.940002,153.039993,153.25,148.068268,971000
2018/4/19,152.850006,152.850006,150.419998,151.559998,146.435394,839000
2018/4/20,151.259995,151.360001,149.649994,150.679993,145.585159,974700
2018/4/23,149.539993,150.729996,149.089996,150.360001,145.275955,865900
2018/4/24,150.669998,151.240005,144.899994,146.779999,141.817017,1221000
2018/4/25,152.440002,153.169998,148.580002,149.75,144.6866,2062400
2018/4/26,151.440002,156.679993,150.080002,155.990005,150.715622,3037100
2018/4/27,156,156.220001,151.779999,153.229996,148.04895,1734000
2018/4/30,153.850006,153.850006,151.949997,152.520004,147.362946,1411300
2018/5/1,152.050003,153.380005,151.059998,153.300003,148.116577,985100
2018/5/2,153.889999,154.020004,150.789993,151.240005,146.126221,1591800
2018/5/3,151.320007,154.220001,150.460007,152.839996,147.672119,1537900
2018/5/4,151.619995,155.210007,151.330002,154.570007,149.343613,1066500
2018/5/7,155.850006,157.050003,154.649994,155.259995,150.0103,897100
2018/5/8,154.449997,155,153.320007,154,148.792908,1041200
2018/5/9,154.979996,156.289993,153.240005,155.509995,150.251862,1365000
2018/5/10,156.100006,157.990005,155.880005,157.050003,151.739777,1250200
2018/5/11,156.929993,158.990005,156.520004,157.630005,152.30014,1166100
2018/5/14,158.25,158.779999,157.389999,158.449997,153.092438,1150300
2018/5/15,157.929993,158.649994,157.130005,158.580002,153.218033,1344600
2018/5/16,158.460007,159.809998,158.130005,159,153.62384,1273400
2018/5/17,159.009995,160.169998,158.520004,159.860001,154.454773,1520500
2018/5/18,159.270004,160.360001,159.139999,159.539993,154.145584,1882500
2018/5/21,160.550003,161.259995,160,160.470001,155.044144,746800
2018/5/22,160.720001,161.690002,159.070007,159.210007,153.826736,1044300
2018/5/23,158.259995,158.970001,157.100006,158.669998,153.304993,1375900
2018/5/24,159.179993,159.270004,156.75,157.5,152.174561,1282400
2018/5/25,156.869995,157.449997,155.550003,157.070007,151.759094,1094600
2018/5/29,155.919998,156.550003,153.25,153.309998,148.126205,1318000
2018/5/30,154.470001,156.660004,154.080002,156.490005,151.198715,1223300
2018/5/31,156.809998,157.149994,155.460007,156.259995,150.976486,2504700
2018/6/1,157.600006,158.529999,156.610001,157.800003,152.464417,1025200
2018/6/4,158.5,158.919998,157.270004,157.529999,152.203552,641200
2018/6/5,158.869995,160.229996,158.699997,159.509995,154.116577,1179300
2018/6/6,159,162.529999,157.839996,162.270004,157.598373,1555000
2018/6/7,160.889999,161.270004,159.25,159.770004,155.170364,1227000
2018/6/8,159,160.089996,158.380005,159.830002,155.228638,1079700
2018/6/11,159.970001,161.25,159.220001,160.570007,155.947327,1289000
2018/6/12,160.990005,162.919998,160.449997,161.339996,156.695145,1179000
2018/6/13,162,162.259995,160.210007,160.470001,155.850204,1048700
2018/6/14,161.850006,162.589996,161.169998,161.550003,156.899094,1169000
2018/6/15,161.080002,161.080002,159.029999,160.259995,155.64624,2856700
2018/6/18,158.330002,158.669998,157.570007,158.470001,153.907776,972900
2018/6/19,156.300003,156.369995,154.809998,155.309998,150.83876,1141300
2018/6/20,155.509995,155.710007,154.220001,155.020004,150.557114,1173600
2018/6/21,155.279999,156.389999,155.130005,155.869995,151.382645,2217100
2018/6/22,156.820007,158.979996,156.710007,158.139999,153.587296,1341000
2018/6/25,157.600006,157.600006,153.309998,154.800003,150.34346,1434500
2018/6/26,155.009995,155.320007,153.520004,154.190002,149.751007,1026100
2018/6/27,155.309998,157.259995,155.029999,155.539993,151.062134,1399300
2018/6/28,155.880005,156.690002,154.350006,156.679993,152.169312,1349500
2018/6/29,157.330002,159.770004,157.149994,158.149994,153.596985,1391000
2018/7/2,157,158.699997,156.550003,158.279999,153.723267,1291900
2018/7/3,158.699997,159.470001,157.050003,157.179993,152.654907,640000
2018/7/5,162,163.169998,161.070007,161.880005,157.21962,1547900
2018/7/6,161.990005,165.5,161.520004,164.039993,159.317429,1642500
2018/7/9,165.080002,166.289993,164.809998,164.809998,160.065262,1293700
2018/7/10,165.110001,166.710007,164.630005,166.470001,161.67746,2150100
2018/7/11,163.179993,164.570007,162.619995,164.059998,159.336838,1518200
2018/7/12,164.669998,166.169998,163.089996,165.889999,161.114166,1913100
2018/7/13,165.149994,167.720001,164.809998,166.800003,161.997971,1501800
2018/7/16,168.029999,168.539993,166.740005,167.039993,162.231064,1399500
2018/7/17,167.050003,167.490005,166.300003,166.860001,162.056274,1854200
