Item,Weekday,count
Hot chocolate,Thursday,94
Hot chocolate,Friday,69
Hot chocolate,Wednesday,69
Hot chocolate,Tuesday,59
Hot chocolate,Monday,49
Jam,Saturday,39
Jam,Friday,26
Jam,Sunday,24
Jam,Monday,16
Jam,Thursday,16
Jam,Wednesday,16
Jam,Tuesday,12
Jammie Dodgers,Saturday,31
Jammie Dodgers,Sunday,31
Jammie Dodgers,Thursday,17
Jammie Dodgers,Monday,14
Jammie Dodgers,Friday,12
Jammie Dodgers,Wednesday,11
Jammie Dodgers,Tuesday,9
Juice,Saturday,85
Juice,Thursday,67
Juice,Sunday,55
Juice,Friday,48
Juice,Wednesday,44
Juice,Monday,41
Juice,Tuesday,29
Keeping It Local,Monday,10
Keeping It Local,Sunday,10
Keeping It Local,Friday,9
Keeping It Local,Thursday,9
Keeping It Local,Tuesday,9
Keeping It Local,Wednesday,9
Keeping It Local,Saturday,7
Kids biscuit,Saturday,4
Kids biscuit,Sunday,4
Kids biscuit,Monday,3
Kids biscuit,Tuesday,1
Lemon and coconut,Monday,3
Lemon and coconut,Friday,1
Lemon and coconut,Saturday,1
Lemon and coconut,Thursday,1
Medialuna,Saturday,143
Medialuna,Sunday,134
Medialuna,Friday,93
Medialuna,Monday,72
Medialuna,Thursday,67
Medialuna,Wednesday,56
Medialuna,Tuesday,51
Mighty Protein,Sunday,4
Mighty Protein,Saturday,3
Mighty Protein,Wednesday,2
Mighty Protein,Friday,1
Mighty Protein,Monday,1
Mineral water,Friday,28
Mineral water,Saturday,27
Mineral water,Sunday,23
Mineral water,Wednesday,18
Mineral water,Tuesday,17
Mineral water,Monday,12
Mineral water,Thursday,11
Mortimer,Thursday,2
Mortimer,Friday,1
Mortimer,Saturday,1
Mortimer,Wednesday,1
Muesli,Friday,4
Muesli,Sunday,2
Muesli,Wednesday,2
Muffin,Saturday,93
Muffin,Monday,63
Muffin,Sunday,63
Muffin,Friday,43
Muffin,Tuesday,41
Muffin,Thursday,38
Muffin,Wednesday,29
My-5 Fruit Shoot,Sunday,6
My-5 Fruit Shoot,Saturday,4
My-5 Fruit Shoot,Thursday,3
My-5 Fruit Shoot,Friday,2
My-5 Fruit Shoot,Monday,2
My-5 Fruit Shoot,Wednesday,1
NONE,Saturday,198
NONE,Sunday,138
NONE,Friday,111
NONE,Wednesday,108
NONE,Tuesday,88
NONE,Thursday,73
NONE,Monday,70
Nomad bag,Saturday,5
Nomad bag,Thursday,1
