Date,Year,Open,High,Low,Close,Adj Close,Volume
2015/1/2,2015,129.639999,130.220001,128.850006,129.949997,115.868279,683700
2015/1/5,2015,128.820007,129.059998,126.110001,126.519997,112.809967,1165700
2015/1/6,2015,126.199997,127.019997,124.82,124.900002,111.365532,1349800
2015/1/7,2015,125.870003,126.650002,125.25,126.300003,112.613831,861300
2015/1/8,2015,127.889999,128.860001,127.230003,128.380005,114.46843,1089700
2015/1/9,2015,128.850006,128.850006,126.5,126.650002,112.925888,989200
2015/1/12,2015,126.769997,127.309998,125.360001,126.370003,112.676231,1026600
2015/1/13,2015,126.900002,127.489998,124.599998,125.5,111.900505,1235000
2015/1/14,2015,123.279999,125,123.199997,124.589996,111.089104,1231700
2015/1/15,2015,125,126.220001,124.400002,124.470001,110.982124,787600
2015/1/16,2015,124.470001,124.68,122.519997,123.529999,110.143974,1990600
2015/1/20,2015,123.870003,125.339996,123.660004,124.910004,111.374435,1563400
2015/1/21,2015,124.57,125.949997,124.080002,125.669998,112.052086,1030200
2015/1/22,2015,126.650002,127.690002,125.669998,127.459999,113.648109,1170600
2015/1/23,2015,127.43,127.540001,126.290001,126.339996,112.649483,1066700
2015/1/26,2015,123.550003,125.57,123.550003,124.519997,111.026711,1408300
2015/1/27,2015,122.900002,124.629997,122.5,123.199997,109.849747,1831900
2015/1/28,2015,124.190002,127.330002,122.599998,122.629997,109.341515,2334800
2015/1/29,2015,123.029999,123.230003,120.169998,121.449997,108.289375,1981000
2015/1/30,2015,119.919998,122.019997,119.919998,120.589996,107.52256,2048800
2015/2/2,2015,121.080002,122.529999,119.879997,122.220001,108.975945,2307000
2015/2/3,2015,123.550003,123.779999,122.32,123.480003,110.099419,1520600
2015/2/4,2015,122.620003,123.720001,122.459999,122.709999,109.412842,1394400
2015/2/5,2015,123.639999,124.660004,122.650002,124.610001,111.106964,1330900
2015/2/6,2015,124.150002,125.879997,123.949997,125.25,111.677597,1440900
2015/2/9,2015,125,125.690002,124.599998,125.040001,111.490372,1262800
2015/2/10,2015,125.239998,125.559998,124.489998,124.910004,111.374435,1188700
2015/2/11,2015,124.910004,125.059998,123.900002,124.349998,110.875122,1226800
2015/2/12,2015,125,125.550003,124.769997,125.360001,111.775673,1289800
2015/2/13,2015,125.5,126.980003,125.339996,126.889999,113.139885,770200
2015/2/17,2015,126.669998,128,126.169998,127.449997,113.639198,759500
2015/2/18,2015,127.440002,127.769997,126.510002,127.629997,113.799675,728400
2015/2/19,2015,127.620003,129.240005,126.959999,128.860001,114.896423,1082400
2015/2/20,2015,128.850006,129.5,127.43,129.309998,115.297646,1075800
2015/2/23,2015,128.960007,129.449997,128.139999,128.389999,114.477333,872400
2015/2/24,2015,128.580002,128.869995,127.980003,128.380005,114.46843,830400
2015/2/25,2015,128.330002,129,128.259995,128.589996,114.655655,719500
2015/2/26,2015,128.309998,128.940002,127.660004,127.900002,114.040436,1462500
2015/2/27,2015,127.980003,128.619995,127.730003,127.900002,114.040436,1249000
2015/3/2,2015,127.900002,130.380005,127.610001,130.279999,116.162529,1376400
2015/3/3,2015,129.820007,129.869995,128.919998,129.050003,115.065811,1223800
2015/3/4,2015,128.190002,128.419998,126.57,127.720001,114.51442,1996900
2015/3/5,2015,127.919998,128.080002,127,127.739998,114.532341,2209100
2015/3/6,2015,126.470001,127.050003,126.160004,126.290001,113.232254,1849200
2015/3/9,2015,126.32,126.809998,125.940002,126.25,113.196404,1934500
2015/3/10,2015,125.199997,125.589996,124.019997,124.360001,111.501823,1703800
2015/3/11,2015,124.360001,125.32,124.110001,124.220001,111.376274,1429000
2015/3/12,2015,124.650002,125.730003,124.43,125.629997,112.640503,1544000
2015/3/13,2015,125.300003,125.400002,123.089996,123.800003,110.99971,1332300
2015/3/16,2015,125.540001,125.550003,123.260002,124.239998,111.394226,1437600
2015/3/17,2015,123.900002,123.989998,122.019997,122.82,110.12104,1374400
2015/3/18,2015,122.150002,125.5,121.379997,124.809998,111.905266,1277800
2015/3/19,2015,123.839996,124.220001,122,122.010002,109.394806,1394400
2015/3/20,2015,120.830002,123.18,119.690002,121.919998,109.314095,3025100
2015/3/23,2015,121.919998,122.400002,121.629997,121.980003,109.367897,1100400
2015/3/24,2015,121.660004,122.849998,121.540001,121.550003,108.982376,1301700
2015/3/25,2015,121.769997,122.160004,120.290001,120.300003,107.861603,1008100
2015/3/26,2015,120.190002,120.879997,120.059998,120.510002,108.049881,1040100
2015/3/27,2015,120.279999,120.940002,120.050003,120.160004,107.736076,1071700
