Date,Open,High,Low,Close,Adj Close,Volume
2016/1/4,101.029999,101.769997,100.519997,101.669998,92.936241,1853500
2016/1/5,102.510002,102.529999,99.959999,101.32,92.616325,1589200
2016/1/6,99.830002,101.389999,99.639999,100.300003,91.683922,1885300
2016/1/7,98.839996,100.07,97.599998,97.790001,89.389557,2002700
2016/1/8,98.040001,99.220001,97.330002,97.849998,89.444397,2541000
2016/1/11,98.370003,99.089996,97.629997,98.440002,89.983704,2389200
2016/1/12,99.5,100.010002,98.300003,99.889999,91.309143,1736500
2016/1/13,100.589996,102.32,97.550003,98.010002,89.590645,2652800
2016/1/14,98.239998,100.339996,97.510002,99.790001,91.217743,1928500
2016/1/15,99.410004,99.790001,96.510002,97.389999,89.023911,1584700
2016/1/19,98.480003,98.599998,96.629997,98.18,89.746056,1822000
2016/1/20,96.57,98.809998,96,97.82,89.416977,2844600
2016/1/21,98.25,98.790001,97.190002,97.959999,89.544952,1653200
2016/1/22,99.400002,99.690002,97.639999,98.089996,89.663773,1746800
2016/1/25,97.599998,98.150002,96,96.129997,87.872139,1400000
2016/1/26,96.519997,98.379997,95.940002,98.139999,89.709465,1350100
2016/1/27,97.809998,99.629997,97.739998,98.099998,89.672913,2132200
2016/1/28,98.639999,99.199997,97.910004,98.199997,89.764313,1815000
2016/1/29,96.769997,100.019997,95.599998,100,91.409683,3435200
2016/2/1,99.830002,100.980003,98.370003,100.529999,91.894157,2402500
2016/2/2,97.830002,99.260002,97.779999,98.150002,89.71862,2462400
2016/2/3,99.330002,103.300003,98.949997,103.290001,94.417061,2563200
2016/2/4,103.349998,106.989998,103.349998,105.529999,96.464661,2169200
2016/2/5,104.970001,105.519997,103.68,105.099998,96.071594,2021200
2016/2/8,104.519997,104.800003,100.470001,101.93,93.173912,2926200
2016/2/9,101.769997,104.199997,101.489998,103.82,94.901535,1592800
2016/2/10,104.309998,105.290001,103,103.370003,94.490211,1107300
2016/2/11,101.739998,103.160004,101.260002,102.059998,93.292732,1594100
2016/2/12,102.760002,103.949997,102.209999,103.830002,94.910706,978100
2016/2/16,105.040001,105.040001,103.459999,104,95.066086,1878700
2016/2/17,104.870003,105.400002,104.32,104.5,95.523132,1449200
2016/2/18,104.309998,104.860001,104.080002,104.5,95.523132,995300
2016/2/19,104.410004,104.559998,102.970001,103.309998,94.435356,1354300
2016/2/22,103.889999,105.050003,103.57,104.220001,95.267197,1273100
2016/2/23,103.529999,103.809998,101.599998,102.220001,93.439003,1294600
2016/2/24,100.919998,102.139999,100.800003,101.889999,93.137344,1493800
2016/2/25,102.209999,102.910004,101.040001,102.610001,93.795494,1758900
2016/2/26,103.300003,104.220001,102.440002,103.239998,94.371368,1582100
2016/2/29,103.370003,103.93,101.75,101.790001,93.045937,1325500
2016/3/1,102.849998,105.529999,102.389999,105.339996,96.29097,1591500
2016/3/2,104.709999,105.260002,103.330002,104.139999,95.194061,1582700
2016/3/3,103.57,105.980003,102.720001,105.839996,97.449829,1295700
2016/3/4,106.059998,110.089996,105.919998,108.790001,100.165993,2152400
2016/3/7,109.18,109.730003,107.629997,108.589996,99.981834,1851700
2016/3/8,107.529999,108.690002,106.629997,108.139999,99.56752,1315000
2016/3/9,108.419998,109.349998,107.849998,109.059998,100.414574,1416000
2016/3/10,109.760002,111.32,109.300003,110.660004,101.887756,2592500
2016/3/11,111.080002,112.209999,110.599998,111.110001,102.302086,2132100
2016/3/14,110.699997,111.050003,109.589996,109.900002,101.188004,1279100
2016/3/15,108.949997,109.639999,108.57,109.440002,100.764473,1057300
2016/3/16,109.260002,110.660004,108.82,110.129997,101.399765,1331000
2016/3/17,110.660004,113.550003,110.589996,113.120003,104.152748,2289100
2016/3/18,113.510002,113.650002,112.809998,112.879997,103.93177,2287000
2016/3/21,112.879997,113.400002,112.75,112.959999,104.00544,1122600
2016/3/22,112.629997,112.860001,111.82,112.580002,103.655563,1246700
2016/3/23,112.389999,113.360001,111.660004,112.800003,103.858109,1229500
2016/3/24,111.879997,112.099998,111,111.739998,102.882133,1106200
2016/3/28,112.059998,112.720001,111.949997,112.449997,103.535858,852300
2016/3/29,111.949997,112.809998,111.589996,112.459999,103.545067,960700
2016/3/30,113.18,115.220001,112.919998,115,105.883705,1708100
2016/3/31,114.93,115.32,114.360001,114.449997,105.377319,1751700
2016/4/1,113.949997,115.489998,112.720001,115.239998,106.104683,1171100
2016/4/4,114.5,115.599998,114.300003,114.709999,105.616699,977500
2016/4/5,113.82,114.449997,112.379997,112.989998,104.033051,1285900
2016/4/6,113.099998,113.330002,111.730003,113.279999,104.300072,976700
2016/4/7,112.529999,112.75,111.290001,111.669998,102.81768,878400
2016/4/8,112.470001,113.279999,111.959999,112.300003,103.397743,840200
2016/4/11,112.769997,113.449997,112.709999,112.739998,103.802864,919900
2016/4/12,112.980003,114.419998,112.360001,114.059998,105.018219,774500
2016/4/13,114.660004,115.620003,113.839996,115.57,106.408531,908700
2016/4/14,115.790001,115.910004,114.870003,115.529999,106.371689,748100
2016/4/15,115.309998,116.550003,115.089996,116.32,107.099083,987700
2016/4/18,115.599998,116.209999,115.349998,116.120003,106.914932,888300
2016/4/19,116.529999,118.860001,116.139999,118.82,109.400887,1226200
2016/4/20,119,119.709999,118.57,119.290001,109.833641,1079300
2016/4/21,119.230003,120.040001,118.739998,118.849998,109.428513,573500
2016/4/22,119.419998,119.790001,118.360001,119.620003,110.137474,658300
2016/4/25,119.010002,119.720001,118.849998,119.190002,109.741554,654500
2016/4/26,119.199997,119.580002,118.32,119.419998,109.953323,903600
2016/4/27,119.489998,119.529999,117.629997,118.449997,109.060219,1493700
2016/4/28,117.599998,119.379997,117.269997,118.260002,108.885284,1193400
2016/4/29,113.669998,118.349998,112.139999,117.459999,108.148705,1962600
2016/5/2,117.57,118.739998,117.050003,117.400002,108.09346,1290900
2016/5/3,116.470001,116.610001,114.209999,115.089996,105.966576,1477300
2016/5/4,114.68,114.93,113.720001,113.940002,104.907738,1248200
2016/5/5,114.650002,114.849998,113.279999,113.470001,104.474991,1084100
