High,Low,Open,Close,Volume,Adj Close,Return,Date,Week_Number,Year,mean_return,volatility
156.3500061,153.3099976,154.7599945,156.1900024,1067600,150.0937347,0,2018/1/2,0,2018,0.8205,0.641687619
157.6900024,155.6799927,156.0299988,157.5,1427900,151.3526154,0.839,2018/1/3,0,2018,0.8205,0.641687619
161.3399963,158.8699951,159.3899994,159.9700012,1896800,153.7261963,1.568,2018/1/4,0,2018,0.8205,0.641687619
162.3399963,160.5599976,161.7700043,161.3699951,1699500,155.071579,0.875,2018/1/5,0,2018,0.8205,0.641687619
161.6499939,160.4600067,161.1100006,161.3099976,936700,155.0139008,-0.037,2018/1/8,1,2018,0.3432,0.490880535
164.4900055,161.9600067,162.3399963,162.8800049,3366400,156.5226288,0.973,2018/1/9,1,2018,0.3432,0.490880535
163.1699982,161.5,162.6999969,162.6199951,2416800,156.2727661,-0.16,2018/1/10,1,2018,0.3432,0.490880535
166.0800018,163.3099976,164.1100006,163.8099976,2007100,157.4163208,0.732,2018/1/11,1,2018,0.3432,0.490880535
165.1199951,163.25,164.0599976,164.1499939,2644400,157.7430573,0.208,2018/1/12,1,2018,0.3432,0.490880535
165.2299957,160.2200012,164.5,162.1000061,2754100,155.7730713,-1.249,2018/1/16,2,2018,-0.3435,1.046387277
164.2299957,161.4600067,163.5500031,163.4600067,1751900,157.0800018,0.839,2018/1/17,2,2018,-0.3435,1.046387277
164.5099945,161.3999939,162.9799957,161.5,1746700,155.1964874,-1.199,2018/1/18,2,2018,-0.3435,1.046387277
162.3500061,161.2899933,162.1999969,161.8800049,1678800,155.5616913,0.235,2018/1/19,2,2018,-0.3435,1.046387277
161.6999969,159.6100006,161.5700073,160.6199951,1523400,154.3508453,-0.778,2018/1/22,3,2018,0.4724,1.196855589
160.8099976,158.5099945,159.6600037,159.2299957,1775300,153.0150757,-0.865,2018/1/23,3,2018,0.4724,1.196855589
162.0399933,158.9799957,159.1000061,160.8699951,3701100,154.5910797,1.03,2018/1/24,3,2018,0.4724,1.196855589
166.9499969,161.8000031,166.2599945,163.3500061,3391800,156.9742737,1.542,2018/1/25,3,2018,0.4724,1.196855589
166.2400055,162.1799927,163.6900024,165.6900024,1870000,159.2229462,1.433,2018/1/26,3,2018,0.4724,1.196855589
166.1300049,160.7100067,165.1999969,162.8300018,2982800,156.4745636,-1.726,2018/1/29,4,2018,-1.3124,1.252899557
162.9400024,160.6600037,162.6999969,160.7200012,2007700,154.4469299,-1.296,2018/1/30,4,2018,-1.3124,1.252899557
162.3300018,160.0399933,161.4299927,161.4900055,3570500,155.1868896,0.479,2018/1/31,4,2018,-1.3124,1.252899557
160.8999939,158.9299927,159.8399963,159.8300018,1520800,153.5916443,-1.028,2018/2/1,4,2018,-1.3124,1.252899557
157.3500061,154.9499969,156.7200012,155.0500031,2086200,148.9982452,-2.991,2018/2/2,4,2018,-1.3124,1.252899557
156.8399963,150.0299988,154.0200043,150.3200073,2593900,144.4528503,-3.051,2018/2/5,5,2018,-0.6698,3.857396622
156.3899994,148.0200043,150.1499939,155.3099976,3718100,149.2481079,3.32,2018/2/6,5,2018,-0.6698,3.857396622
154.7799988,150,154.5599976,150.0099945,2248000,144.154953,-3.413,2018/2/7,5,2018,-0.6698,3.857396622
150.6199951,144.0500031,149.8800049,144.0700073,2054300,138.4468079,-3.96,2018/2/8,5,2018,-0.6698,3.857396622
150.6300049,144.6999969,145.2899933,149.4799957,3116200,143.6456451,3.755,2018/2/9,5,2018,-0.6698,3.857396622
154.9799957,150.5,150.8699951,153.75,3099700,147.7489624,2.857,2018/2/12,6,2018,0.556,1.538488381
154.4499969,152.0800018,152.7299957,153.8300018,1402800,147.8258667,0.052,2018/2/13,6,2018,0.556,1.538488381
156.2400055,152,152.25,155.0700073,1622000,149.0174866,0.806,2018/2/14,6,2018,0.556,1.538488381
156.3099976,153.1199951,156.2700043,155.8000031,1634200,149.7189636,0.471,2018/2/15,6,2018,0.556,1.538488381
155.1300049,153.1999969,154.5500031,153.6100006,1589400,147.6144562,-1.406,2018/2/16,6,2018,0.556,1.538488381
154.2599945,151.6399994,152.25,153.6000061,2590500,147.6048279,-0.007,2018/2/20,7,2018,0.32775,0.788502959
155.7400055,152.7400055,153.4700012,152.7400055,1834100,146.7784119,-0.56,2018/2/21,7,2018,0.32775,0.788502959
154.9600067,153.1399994,153.8699951,153.6699982,1627100,147.6721191,0.609,2018/2/22,7,2018,0.32775,0.788502959
155.7400055,152.5500031,154.3099976,155.6199951,1593400,149.54599,1.269,2018/2/23,7,2018,0.32775,0.788502959
155.9799957,153.6600037,155.4400024,155.8300018,1018600,149.7478027,0.135,2018/2/26,8,2018,-0.8,1.444803274
155.3200073,153.5500031,154.8999939,154,1239400,147.989212,-1.174,2018/2/27,8,2018,-0.8,1.444803274
154.5,149.6600037,154.1499939,149.75,1541700,143.9051056,-2.76,2018/2/28,8,2018,-0.8,1.444803274
150.0800018,146.5899963,149.2100067,147.9199982,1918000,142.1465149,-1.222,2018/3/1,8,2018,-0.8,1.444803274
149.9799957,146.6499939,147.2400055,149.4299927,1420600,143.5975952,1.021,2018/3/2,8,2018,-0.8,1.444803274
153.4199982,148.5099945,148.8099976,152.7400055,1852900,146.7784119,2.215,2018/3/5,9,2018,1.4986,0.510827564
154.6699982,151.7700043,153.0599976,153.6499939,1470000,148.4547424,1.142,2018/3/6,9,2018,1.4986,0.510827564
155.8000031,152.3099976,152.5500031,155.1000061,1821700,149.8557281,0.944,2018/3/7,9,2018,1.4986,0.510827564
158.0899963,155.4400024,155.7400055,157.8800049,2190900,152.5417023,1.792,2018/3/8,9,2018,1.4986,0.510827564
160.1799927,157.1499939,157.9499969,160.0899963,1340300,154.6769562,1.4,2018/3/9,9,2018,1.4986,0.510827564
163.4700012,160.1199951,162.6499939,161.1100006,1787800,155.6625061,0.637,2018/3/12,10,2018,-0.7282,0.900132879
161.9900055,159.0700073,161.8800049,160.3699951,1678500,154.9474792,-0.459,2018/3/13,10,2018,-0.7282,0.900132879
161.2400055,157.4799957,160.9400024,157.5399933,1611600,152.2131958,-1.765,2018/3/14,10,2018,-0.7282,0.900132879
158.4299927,155.5500031,157.5899963,155.6699982,1491600,150.4064484,-1.187,2018/3/15,10,2018,-0.7282,0.900132879
155.3399963,153.1499939,154.6499939,154.3200073,2276000,149.1020813,-0.867,2018/3/16,10,2018,-0.7282,0.900132879
152.3099976,148.5500031,150.2599945,149.5800018,2058400,144.5223694,-3.072,2018/3/19,11,2018,-1.5558,2.126758613
151.1399994,149.8699951,150.5800018,150.2200012,837700,145.1407013,0.428,2018/3/20,11,2018,-1.5558,2.126758613
152.8800049,149.9900055,150.6000061,151.7100067,826700,146.5803223,0.992,2018/3/21,11,2018,-1.5558,2.126758613
150.6699982,145.8999939,150.0599976,146.0899963,1351300,141.1503448,-3.704,2018/3/22,11,2018,-1.5558,2.126758613
147.5500031,142.1399994,146.8500061,142.5500031,1232100,137.7300568,-2.423,2018/3/23,11,2018,-1.5558,2.126758613
146.4600067,143.6699982,145,146.1100006,1068200,141.169693,2.497,2018/3/26,12,2018,0.32,1.982860224
147.1499939,143.1499939,146.1799927,144.1100006,856500,139.2373047,-1.369,2018/3/27,12,2018,0.32,1.982860224
144.8200073,141.3600006,144.4499969,142.1600037,1236200,137.3532715,-1.353,2018/3/28,12,2018,0.32,1.982860224
145.3600006,140.2599945,140.6600037,144.3000031,1461000,139.4208679,1.505,2018/3/29,12,2018,0.32,1.982860224
144.8600006,140.6100006,144.0200043,142.1000061,2028000,137.2952728,-1.525,2018/4/2,13,2018,-0.1442,1.693095892
144.2400055,141.3999939,141.9700012,143.6399994,1079000,138.7831879,1.084,2018/4/3,13,2018,-0.1442,1.693095892
145.3000031,140,141.1199951,145.0200043,1132800,140.1165009,0.961,2018/4/4,13,2018,-0.1442,1.693095892
147.8300018,145.3300018,146,146.7100067,988100,141.7493896,1.165,2018/4/5,13,2018,-0.1442,1.693095892
146.5200043,142.3399963,145.3899994,143.1799927,1188600,138.3387451,-2.406,2018/4/6,13,2018,-0.1442,1.693095892
145.9400024,142.8099976,144.0500031,143.9499969,1231700,139.0827179,0.538,2018/4/9,14,2018,0.471,1.367051023
148.1900024,145.0899963,146.1499939,146.6900024,1089400,141.7300568,1.903,2018/4/10,14,2018,0.471,1.367051023
145.6699982,144.1000061,145.2400055,144.6000061,890700,139.7107544,-1.425,2018/4/11,14,2018,0.471,1.367051023
147.6699982,144.7899933,145.4100037,146.9199982,1001200,141.9522858,1.604,2018/4/12,14,2018,0.471,1.367051023
147.7599945,145.8099976,147.3500061,146.5299988,716500,141.5754852,-0.265,2018/4/13,14,2018,0.471,1.367051023
151.1999969,147.0099945,148,151.1999969,2211500,146.0875702,3.187,2018/4/16,15,2018,0.577,2.077268519
155.1600037,150.7100067,151.9499969,154.9199982,2268500,149.681778,2.46,2018/4/17,15,2018,0.577,2.077268519
154.9400024,153.0399933,154.8099976,153.25,971000,148.0682678,-1.078,2018/4/18,15,2018,0.577,2.077268519
152.8500061,150.4199982,152.8500061,151.5599976,839000,146.4353943,-1.103,2018/4/19,15,2018,0.577,2.077268519
151.3600006,149.6499939,151.2599945,150.6799927,974700,145.5851593,-0.581,2018/4/20,15,2018,0.577,2.077268519
150.7299957,149.0899963,149.5399933,150.3600006,865900,145.2759552,-0.212,2018/4/23,16,2018,0.3656,2.721744257
151.2400055,144.8999939,150.6699982,146.7799988,1221000,141.8170166,-2.381,2018/4/24,16,2018,0.3656,2.721744257
153.1699982,148.5800018,152.4400024,149.75,2062400,144.6865997,2.023,2018/4/25,16,2018,0.3656,2.721744257
156.6799927,150.0800018,151.4400024,155.9900055,3037100,150.7156219,4.167,2018/4/26,16,2018,0.3656,2.721744257
156.2200012,151.7799988,156,153.2299957,1734000,148.0489502,-1.769,2018/4/27,16,2018,0.3656,2.721744257
153.8500061,151.9499969,153.8500061,152.5200043,1411300,147.3629456,-0.463,2018/4/30,17,2018,0.1788,1.06333988
153.3800049,151.0599976,152.0500031,153.3000031,985100,148.1165771,0.511,2018/5/1,17,2018,0.1788,1.06333988
154.0200043,150.7899933,153.8899994,151.2400055,1591800,146.1262207,-1.344,2018/5/2,17,2018,0.1788,1.06333988
154.2200012,150.4600067,151.3200073,152.8399963,1537900,147.6721191,1.058,2018/5/3,17,2018,0.1788,1.06333988
155.2100067,151.3300018,151.6199951,154.5700073,1066500,149.3436127,1.132,2018/5/4,17,2018,0.1788,1.06333988
157.0500031,154.6499939,155.8500061,155.2599945,897100,150.0102997,0.446,2018/5/7,18,2018,0.3948,0.734429506
155,153.3200073,154.4499969,154,1041200,148.7929077,-0.812,2018/5/8,18,2018,0.3948,0.734429506
156.2899933,153.2400055,154.9799957,155.5099945,1365000,150.2518616,0.981,2018/5/9,18,2018,0.3948,0.734429506
157.9900055,155.8800049,156.1000061,157.0500031,1250200,151.7397766,0.99,2018/5/10,18,2018,0.3948,0.734429506
